"filename", "language", "Go", "Markdown", "YAML", "Go Module File", "Go Checksum File", "Shell Script", "C", "comment", "blank", "total"
"c:\Users\user0\Documents\GitHub\calibrationReader\vendor\golang.org\x\sys\unix\ztypes_linux_s390x.go", "Go", 582, 0, 0, 0, 0, 0, 0, 4, 77, 663
"c:\Users\user0\Documents\GitHub\calibrationReader\vendor\golang.org\x\sys\unix\ztypes_linux_sparc64.go", "Go", 566, 0, 0, 0, 0, 0, 0, 4, 74, 644
"c:\Users\user0\Documents\GitHub\calibrationReader\vendor\golang.org\x\sys\unix\ztypes_netbsd_386.go", "Go", 435, 0, 0, 0, 0, 0, 0, 4, 64, 503
"c:\Users\user0\Documents\GitHub\calibrationReader\vendor\golang.org\x\sys\unix\ztypes_netbsd_amd64.go", "Go", 443, 0, 0, 0, 0, 0, 0, 4, 64, 511
"c:\Users\user0\Documents\GitHub\calibrationReader\vendor\golang.org\x\sys\unix\ztypes_netbsd_arm.go", "Go", 440, 0, 0, 0, 0, 0, 0, 4, 64, 508
"c:\Users\user0\Documents\GitHub\calibrationReader\vendor\golang.org\x\sys\unix\ztypes_netbsd_arm64.go", "Go", 443, 0, 0, 0, 0, 0, 0, 4, 64, 511
"c:\Users\user0\Documents\GitHub\calibrationReader\vendor\golang.org\x\sys\unix\ztypes_openbsd_386.go", "Go", 510, 0, 0, 0, 0, 0, 0, 4, 62, 576
"c:\Users\user0\Documents\GitHub\calibrationReader\vendor\golang.org\x\sys\unix\ztypes_openbsd_amd64.go", "Go", 510, 0, 0, 0, 0, 0, 0, 4, 62, 576
"c:\Users\user0\Documents\GitHub\calibrationReader\vendor\golang.org\x\sys\unix\ztypes_openbsd_arm.go", "Go", 511, 0, 0, 0, 0, 0, 0, 4, 62, 577
"c:\Users\user0\Documents\GitHub\calibrationReader\vendor\golang.org\x\sys\unix\ztypes_openbsd_arm64.go", "Go", 504, 0, 0, 0, 0, 0, 0, 4, 62, 570
"c:\Users\user0\Documents\GitHub\calibrationReader\vendor\golang.org\x\sys\unix\ztypes_openbsd_mips64.go", "Go", 504, 0, 0, 0, 0, 0, 0, 4, 62, 570
"c:\Users\user0\Documents\GitHub\calibrationReader\vendor\golang.org\x\sys\unix\ztypes_solaris_amd64.go", "Go", 418, 0, 0, 0, 0, 0, 0, 4, 61, 483
"c:\Users\user0\Documents\GitHub\calibrationReader\vendor\golang.org\x\sys\unix\ztypes_zos_s390x.go", "Go", 351, 0, 0, 0, 0, 0, 0, 9, 47, 407
"Total", "-", 152876, 924, 189, 25, 36, 579, 28, 12645, 16648, 183950
